"Years","Community District of Residence","LeadingCause","PrematureDeaths","PrematureDeathRate","Age-adjusted Death Rate per 100000 population"
"2014-2016","East Tremont (206)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",53,22.3,25.2
"2014-2016","East Tremont (206)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",31,13.1,14.9
"2014-2016","East Tremont (206)","Diabetes Mellitus (E10-E14)",27,11.4,12.9
"2014-2016","East Tremont (206)","Chronic Lower Respiratory Diseases (J40-J47)",25,10.5,11.9
"2014-2016","East Tremont (206)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",22,9.3,10.1
"2014-2016","East Tremont (206)","Assault (Homicide: Y87.1, X85-Y09)",21,8.8,8.7
"2014-2016","East Tremont (206)","Cerebrovascular Disease (Stroke: I60-I69)",18,7.6,8.5
"2014-2016","East Tremont (206)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,7.2,7.4
"2014-2016","East Tremont (206)","All Other Causes",188,79.2,87.1
"2014-2016","Fordham (207)","Malignant Neoplasms (Cancer: C00-C97)",198,49.3,49.4
"2014-2016","Fordham (207)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",185,46.0,46.2
"2014-2016","Fordham (207)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",86,21.4,21.5
"2014-2016","Fordham (207)","Diabetes Mellitus (E10-E14)",34,8.5,8.5
"2014-2016","Fordham (207)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",30,7.5,7.5
"2014-2016","Fordham (207)","Chronic Lower Respiratory Diseases (J40-J47)",27,6.7,6.7
"2014-2016","Fordham (207)","Influenza (Flu) and Pneumonia (J09-J18)",25,6.2,6.2
"2014-2016","Fordham (207)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",23,5.7,5.7
"2014-2016","Fordham (207)","Chronic Liver Disease and Cirrhosis (K70, K73)",22,5.5,5.5
"2014-2016","Fordham (207)","Cerebrovascular Disease (Stroke: I60-I69)",21,5.2,5.3
"2014-2016","Fordham (207)","All Other Causes",205,51.0,51.0
"2014-2016","Riverdale (208)","Malignant Neoplasms (Cancer: C00-C97)",174,67.8,58.5
"2014-2016","Riverdale (208)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",103,40.1,34.1
"2014-2016","Riverdale (208)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",29,11.3,10.3
"2014-2016","Riverdale (208)","Diabetes Mellitus (E10-E14)",28,10.9,9.4
"2014-2016","Riverdale (208)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,6.6,6.5
"2014-2016","Riverdale (208)","Cerebrovascular Disease (Stroke: I60-I69)",16,6.2,5.4
"2014-2016","Riverdale (208)","Chronic Liver Disease and Cirrhosis (K70, K73)",16,6.2,5.4
"2014-2016","Riverdale (208)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",13,5.1,4.6
"2014-2016","Riverdale (208)","Viral Hepatitis (B15-B19)",13,5.1,4.3
"2014-2016","Riverdale (208)","Chronic Lower Respiratory Diseases (J40-J47)",11,".","."
"2014-2016","Riverdale (208)","Certain Conditions originating in the Perinatal Period (P00-P96)",11,".","."
"2014-2016","Riverdale (208)","All Other Causes",104,40.5,36.2
"2014-2016","Unionport, Soundview (209)","Malignant Neoplasms (Cancer: C00-C97)",274,56.6,53.1
"2014-2016","Unionport, Soundview (209)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",215,44.4,41.7
"2014-2016","Unionport, Soundview (209)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",82,17.0,16.4
"2014-2016","Unionport, Soundview (209)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",44,9.1,8.6
"2014-2016","Unionport, Soundview (209)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",39,8.1,7.9
"2014-2016","Unionport, Soundview (209)","Diabetes Mellitus (E10-E14)",39,8.1,7.8
"2014-2016","Unionport, Soundview (209)","Chronic Lower Respiratory Diseases (J40-J47)",37,7.6,7.2
"2014-2016","Unionport, Soundview (209)","Cerebrovascular Disease (Stroke: I60-I69)",37,7.6,7.2
"2014-2016","Unionport, Soundview (209)","Assault (Homicide: Y87.1, X85-Y09)",28,5.8,5.9
"2014-2016","Unionport, Soundview (209)","Influenza (Flu) and Pneumonia (J09-J18)",27,5.6,5.2
"2014-2016","Unionport, Soundview (209)","All Other Causes",270,55.8,53.9
"2014-2016","Throgs Neck (210)","Malignant Neoplasms (Cancer: C00-C97)",177,58.4,46.6
"2014-2016","Throgs Neck (210)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",144,47.5,38.0
"2014-2016","Throgs Neck (210)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",56,18.5,16.5
"2014-2016","Throgs Neck (210)","Diabetes Mellitus (E10-E14)",27,8.9,7.0
"2014-2016","Throgs Neck (210)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",21,6.9,6.9
"2014-2016","Throgs Neck (210)","Influenza (Flu) and Pneumonia (J09-J18)",21,6.9,5.7
"2014-2016","Throgs Neck (210)","Chronic Lower Respiratory Diseases (J40-J47)",19,6.3,5.1
"2014-2016","Throgs Neck (210)","Cerebrovascular Disease (Stroke: I60-I69)",18,5.9,4.8
"2014-2016","Throgs Neck (210)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",14,4.6,4.1
"2014-2016","Throgs Neck (210)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",13,4.3,3.6
