age_group,arrest_boro,arrest_date,arrest_key,arrest_precinct,jurisdiction_code,ky_cd,latitude,law_cat_cd,law_code,longitude,ofns_desc,pd_cd,pd_desc,perp_race,perp_sex,x_coord_cd,y_coord_cd,year,month,PDCODE_VALUE.y,CATEGORY.y,LIT_LONG.y,LIT_SHORT.y,MP_Mis,MP_Fel,MS_Mis,MS_Fel,CSP_Mis,CSP_Fel,CSS_Fel,CSIS_Fel,School
25-44,S,12/22/17,172892485,121,0,235,40.62318838,M,PL 2211001,-74.1492377,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,942822,166353,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
45-64,S,12/22/17,172877873,121,0,117,40.62058297,F,PL 2204402,-74.16378463,DANGEROUS DRUGS,523,SALE SCHOOL GROUNDS,WHITE,M,938782,165411,2017,12,523,F,CSCS: VIOL PL220.39-SCHOOL/BUS,CSCS SCHOOL-BUS,0,0,0,0,0,0,0,0,1
18-24,S,12/21/17,172853576,120,0,117,40.62685594,F,PL 2200601,-74.08370195,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",BLACK,M,961016,167665,2017,12,510,F,CPCS-5TH:WITH INTENT TO SELL  ,CPCS-5         ,0,0,0,0,0,0,0,1,0
45-64,S,12/21/17,172858123,122,0,235,40.5689311,M,PL 22140,-74.13890503,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",BLACK,M,945659,146581,2017,12,569,M,CRIM SALE MARIHUANA-4TH       ,SALE MARIJNA 4 ,0,0,1,0,0,0,0,0,0
18-24,S,12/21/17,172855888,121,0,235,40.63554807,M,PL 2211001,-74.1337149,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,947138,170849,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/21/17,172860290,122,0,235,40.5689311,M,PL 22140,-74.13890503,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE,M,945659,146581,2017,12,569,M,CRIM SALE MARIHUANA-4TH       ,SALE MARIJNA 4 ,0,0,1,0,0,0,0,0,0
25-44,S,12/21/17,172867271,123,0,235,40.53240695,M,PL 22115,-74.22484697,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,921748,133324,2017,12,567,M,CRIM POSS MARIHUANA-4TH:>2 OZS,POS MARIHUANA-4,1,0,0,0,0,0,0,0,0
18-24,S,12/20/17,172791394,120,0,235,40.61141441,M,PL 2211001,-74.08277136,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961269,162039,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/20/17,172830965,122,0,117,40.53353573,F,PL 2201601,-74.15058442,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942392,133691,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
18-24,S,12/20/17,172830964,122,0,235,40.53353573,M,PL 22003,-74.15058442,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,942392,133691,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/20/17,172830969,120,0,117,40.62100643,F,PL 2201601,-74.09803852,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957034,165538,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
45-64,S,12/20/17,172831102,121,0,235,40.62152447,M,PL 22003,-74.1409885,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,945111,165743,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/20/17,172830967,120,0,117,40.62100643,F,PL 2201601,-74.09803852,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957034,165538,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/20/17,172813021,123,0,117,40.52092674,F,PL 2200602,-74.2351132,DANGEROUS DRUGS,507,"CONTROLLED SUBSTANCE, POSSESSION 5",WHITE,M,918883,129149,2017,12,507,F,CRIM POSS CONTRL SUB-5TH:NARC ,CPCS-5         ,0,0,0,0,0,1,0,0,0
45-64,S,12/20/17,172789116,121,0,235,40.59528915,M,PL 2205002,-74.1660379,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2",WHITE,M,938139,156197,2017,12,508,M,CRIM USE DRUG PAR-2ND:PACKAGE ,USE DRUG PARA-2,0,0,0,0,0,0,0,0,0
45-64,S,12/20/17,172813020,123,0,117,40.52092674,F,PL 2201601,-74.2351132,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,918883,129149,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
18-24,S,12/20/17,172815348,121,0,235,40.63739918,M,PL 2211001,-74.16071284,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939646,171536,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
<18,S,12/20/17,172828182,120,0,235,40.61549122,M,PL 2211001,-74.08165623,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,F,961580,163524,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/20/17,172830966,122,0,117,40.53353573,F,PL 2201601,-74.15058442,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942392,133691,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
45-64,S,12/20/17,172815349,122,0,117,40.5960371,F,PL 2203901,-74.08023171,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK,M,961969,156436,2017,12,515,F,CSCS-3RD:NARCOTIC DRUG        ,CSCS-3         ,0,0,0,0,0,0,1,0,0
25-44,S,12/20/17,172831103,122,0,235,40.59478615,M,PL 22003,-74.12547032,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,949405,155995,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/20/17,172830970,120,0,235,40.62100643,M,PL 22003,-74.09803852,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,957034,165538,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
18-24,S,12/19/17,172786720,121,0,235,40.6300272,M,PL 2211001,-74.13228799,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,947531,168837,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/19/17,172755981,122,0,235,40.54209178,M,PL 22003,-74.14812112,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,943082,136807,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/19/17,172755982,122,0,117,40.54209178,F,PL 2204301,-74.14812112,DANGEROUS DRUGS,512,"CONTROLLED SUBSTANCE,SALE 1",WHITE,M,943082,136807,2017,12,512,F,CSCS-1ST:2 OZ NARCOTIC DRUG   ,CSCS-1         ,0,0,0,0,0,0,1,0,0
25-44,S,12/19/17,172755980,122,0,117,40.54209178,F,PL 22125,-74.14812112,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",WHITE,M,943082,136807,2017,12,568,F,CRIM POSS MARIHUANA-2ND:>16 OZ,POS MARIHUANA-2,0,1,0,0,0,0,0,0,0
25-44,S,12/19/17,172755984,122,0,117,40.5388992,F,PL 2201601,-74.1462576,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,943598,135643,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/18/17,172738762,121,0,235,40.63165017,M,PL 2211001,-74.16171858,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939363,169442,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/18/17,172712147,120,0,235,40.62790328,M,PL 22003,-74.11101066,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",HISPANIC,M,953436,168055,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/18/17,172738759,121,0,235,40.63999547,M,PL 2211001,-74.13765852,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,946046,172471,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/17/17,172699034,121,0,235,40.63007096,M,PL 2211001,-74.15645844,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",HISPANIC,M,940822,168864,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/17/17,172695379,121,0,235,40.63603266,M,PL 2211001,-74.13477155,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,946845,171026,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/16/17,172682749,122,0,117,40.57797793,F,PL 2201601,-74.12709468,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,F,948945,149872,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
18-24,S,12/16/17,172681820,122,0,235,40.57428569,M,PL 2205003,-74.10591441,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2",WHITE,M,954827,148519,2017,12,508,M,CRIM USE DRUG PARA-2ND:SCALES ,USE DRUG PARA-2,0,0,0,0,0,0,0,0,0
18-24,S,12/16/17,172680639,120,0,235,40.64544846,M,PL 2211001,-74.08081364,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961824,174438,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
25-44,S,12/16/17,172675656,123,9,678,40.52491179,V,PL 22105,-74.20063542,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",WHITE,M,928472,130577,2017,12,566,V,UNLAWFUL POSSESSION MARIHUANA ,POSS MARIHUANA ,0,0,0,0,0,0,0,0,0
25-44,S,12/16/17,172681823,121,0,235,40.63433353,M,PL 2211001,-74.13718207,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",HISPANIC,M,946175,170408,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
45-64,S,12/16/17,172675655,120,0,117,40.61572972,F,PL 2201601,-74.09623342,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957533,163615,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/16/17,172671993,121,0,235,40.63653863,M,PL 22003,-74.16748447,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,937766,171226,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
18-24,S,12/16/17,172681824,120,0,117,40.63029949,F,PL 2201601,-74.08890494,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,959573,168921,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
25-44,S,12/16/17,172680642,120,0,117,40.63029949,F,PL 2201601,-74.08890494,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,959573,168921,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
18-24,S,12/14/17,172626603,121,0,235,40.62598702,M,PL 2211001,-74.15622192,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,940885,167376,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/14/17,172629448,123,0,235,40.51158634,M,PL 2211001,-74.24930373,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,F,914928,125757,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
45-64,S,12/14/17,172629609,123,0,235,40.51158634,M,PL 22003,-74.24930373,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,914928,125757,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/14/17,172593009,121,0,235,40.6325582,M,PL 2211001,-74.15813238,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",HISPANIC,M,940359,169771,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
65+,S,12/14/17,172610793,120,0,117,40.64502275,F,PL 2201611,-74.07721685,DANGEROUS DRUGS,502,"CONTROLLED SUBSTANCE,POSSESS 3",WHITE,M,962822,174282,2017,12,502,F,CPCS-3RD:HALLUCINOGENIC SUBST ,CPCS-3         ,0,0,0,0,0,1,0,0,0
65+,S,12/14/17,172601990,123,0,235,40.50882156,M,PL 22003,-74.23801588,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,918064,124741,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
18-24,S,12/13/17,172580492,121,0,235,40.58764996,M,PL 2205003,-74.16052111,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2",WHITE,M,939666,153411,2017,12,508,M,CRIM USE DRUG PARA-2ND:SCALES ,USE DRUG PARA-2,0,0,0,0,0,0,0,0,0
18-24,S,12/13/17,172578903,120,0,235,40.6146244,M,PL 2211002,-74.08471673,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960730,163209,2017,12,567,M,CRIM POSS MARIHUANA-5TH: >25GR,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/13/17,172578902,120,0,235,40.6146244,M,PL 2211002,-74.08471673,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960730,163209,2017,12,567,M,CRIM POSS MARIHUANA-5TH: >25GR,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/12/17,172537409,121,0,235,40.63597097,M,PL 22140,-74.16136515,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",BLACK,M,939464,171016,2017,12,569,M,CRIM SALE MARIHUANA-4TH       ,SALE MARIJNA 4 ,0,0,1,0,0,0,0,0,0
25-44,S,12/12/17,172523374,120,0,117,40.64075492,F,PL 2201601,-74.07674709,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,962951,172727,2017,12,503,F,CPCS-3RD:NARC DRUG INT/SELL   ,CPCS-3         ,0,0,0,0,0,0,0,1,0
18-24,S,12/12/17,172537410,121,0,235,40.63597097,M,PL 22003,-74.16136515,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,939464,171016,2017,12,511,M,CRIM POSS CONTRL SUBST-7TH    ,CPCS-7         ,0,0,0,0,1,0,0,0,0
25-44,S,12/11/17,172493234,120,0,235,40.61273404,M,PL 2211001,-74.07141311,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",HISPANIC,M,964423,162517,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
45-64,S,12/11/17,172503419,120,0,235,40.63743602,M,PL 2211001,-74.11373963,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,952683,171529,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
18-24,S,12/11/17,172493231,121,0,235,40.63808589,M,PL 2211001,-74.16229987,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939206,171787,2017,12,567,M,CRIM POSS MARIHUANA-5TH:PUBLIC,POS MARIHUANA-5,1,0,0,0,0,0,0,0,0
