"","age_group","arrest_boro","arrest_date","arrest_key","arrest_precinct","jurisdiction_code","ky_cd","latitude","law_cat_cd","law_code","longitude","ofns_desc","pd_cd","pd_desc","perp_race","perp_sex","x_coord_cd","y_coord_cd","year","month"
"11","25-44","S",2017-12-27,173026174,122,0,117,40.550334116,"F","PL 2201601",-74.146246646,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",943608,139809,2017,12
"12","25-44","S",2017-12-27,173010832,123,0,117,40.527916687,"F","PL 2200601",-74.164856134,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",938421,131651,2017,12
"13","18-24","S",2017-12-27,173012644,120,0,235,40.639941618,"M","PL 2211001",-74.081945582,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961508,172432,2017,12
"14","45-64","S",2017-12-27,173026263,122,0,235,40.550334116,"M","PL 2200300",-74.146246646,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",943608,139809,2017,12
"15","25-44","S",2017-12-27,173024200,120,0,117,40.63968673,"F","PL 2201601",-74.077441276,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","HISPANIC","M",962758,172338,2017,12
"16","25-44","S",2017-12-27,173026173,123,0,235,40.541386562,"M","PL 2200300",-74.169786105,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",937060,136561,2017,12
"17","25-44","S",2017-12-26,172970129,122,0,235,40.604795463,"M","PL 2200300",-74.084470177,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",960795,159628,2017,12
"18","45-64","S",2017-12-26,172970128,122,0,235,40.604795463,"M","PL 2200300",-74.084470177,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",960795,159628,2017,12
"19","25-44","S",2017-12-26,172953022,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962822,174282,2017,12
"20","25-44","S",2017-12-26,172953024,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962822,174282,2017,12
"21","45-64","S",2017-12-26,172967548,120,0,235,40.638812184,"M","PL 2200300",-74.087471423,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",959974,172022,2017,12
"22","25-44","S",2017-12-26,172977328,120,0,235,40.639235511,"M","PL 2211001",-74.079018941,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",962320,172174,2017,12
"23","25-44","S",2017-12-26,172982593,123,0,235,40.548022558,"M","PL 2200300",-74.226083342,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",921419,139014,2017,12
"24","25-44","S",2017-12-23,172913874,120,0,117,40.640754918,"F","PL 2201601",-74.076747088,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",962951,172727,2017,12
"25","45-64","S",2017-12-23,172894178,120,0,235,40.624374314,"M","PL 2200300",-74.080323415,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",961953,166760,2017,12
"26","18-24","S",2017-12-23,172921231,120,0,117,40.615491223,"F","PL 2201601",-74.08165623,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",961580,163524,2017,12
"27","45-64","S",2017-12-22,172891802,120,0,117,40.638102677,"F","PL 2201601",-74.077900636,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",962630,171761,2017,12
"28","25-44","S",2017-12-22,172877874,121,0,117,40.620582974,"F","PL 2204402",-74.163784625,"DANGEROUS DRUGS",523,"SALE SCHOOL GROUNDS","WHITE","F",938782,165411,2017,12
"29","18-24","S",2017-12-22,172890082,120,0,117,40.637142453,"F","PL 2201601",-74.116358554,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",951956,171423,2017,12
"30","25-44","S",2017-12-22,172892485,121,0,235,40.623188378,"M","PL 2211001",-74.149237695,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",942822,166353,2017,12
"31","45-64","S",2017-12-22,172877873,121,0,117,40.620582974,"F","PL 2204402",-74.163784625,"DANGEROUS DRUGS",523,"SALE SCHOOL GROUNDS","WHITE","M",938782,165411,2017,12
"32","18-24","S",2017-12-21,172853576,120,0,117,40.626855941,"F","PL 2200601",-74.083701946,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","BLACK","M",961016,167665,2017,12
"33","45-64","S",2017-12-21,172858123,122,0,235,40.568931095,"M","PL 2214000",-74.13890503,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","BLACK","M",945659,146581,2017,12
"34","18-24","S",2017-12-21,172855888,121,0,235,40.635548069,"M","PL 2211001",-74.133714898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",947138,170849,2017,12
"35","25-44","S",2017-12-21,172860290,122,0,235,40.568931095,"M","PL 2214000",-74.13890503,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","WHITE","M",945659,146581,2017,12
"36","25-44","S",2017-12-21,172867271,123,0,235,40.532406952,"M","PL 2211500",-74.224846967,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",921748,133324,2017,12
"37","18-24","S",2017-12-20,172791394,120,0,235,40.611414405,"M","PL 2211001",-74.082771362,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961269,162039,2017,12
"38","25-44","S",2017-12-20,172830965,122,0,117,40.533535725,"F","PL 2201601",-74.150584417,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",942392,133691,2017,12
"39","18-24","S",2017-12-20,172830964,122,0,235,40.533535725,"M","PL 2200300",-74.150584417,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",942392,133691,2017,12
"40","25-44","S",2017-12-20,172830969,120,0,117,40.621006434,"F","PL 2201601",-74.098038517,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957034,165538,2017,12
"41","45-64","S",2017-12-20,172831102,121,0,235,40.621524465,"M","PL 2200300",-74.140988499,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",945111,165743,2017,12
"42","25-44","S",2017-12-20,172830967,120,0,117,40.621006434,"F","PL 2201601",-74.098038517,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957034,165538,2017,12
"43","25-44","S",2017-12-20,172813021,123,0,117,40.52092674,"F","PL 2200602",-74.235113195,"DANGEROUS DRUGS",507,"CONTROLLED SUBSTANCE, POSSESSION 5","WHITE","M",918883,129149,2017,12
"44","45-64","S",2017-12-20,172789116,121,0,235,40.595289149,"M","PL 2205002",-74.166037899,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",938139,156197,2017,12
"45","45-64","S",2017-12-20,172813020,123,0,117,40.52092674,"F","PL 2201601",-74.235113195,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",918883,129149,2017,12
"46","18-24","S",2017-12-20,172815348,121,0,235,40.637399176,"M","PL 2211001",-74.160712843,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939646,171536,2017,12
"47","<18","S",2017-12-20,172828182,120,0,235,40.615491223,"M","PL 2211001",-74.08165623,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","F",961580,163524,2017,12
"48","25-44","S",2017-12-20,172830966,122,0,117,40.533535725,"F","PL 2201601",-74.150584417,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",942392,133691,2017,12
"49","45-64","S",2017-12-20,172815349,122,0,117,40.596037101,"F","PL 2203901",-74.080231712,"DANGEROUS DRUGS",515,"CONTROLLED SUBSTANCE,SALE 3","BLACK","M",961969,156436,2017,12
"50","25-44","S",2017-12-20,172831103,122,0,235,40.594786154,"M","PL 2200300",-74.125470316,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",949405,155995,2017,12
"51","25-44","S",2017-12-20,172830970,120,0,235,40.621006434,"M","PL 2200300",-74.098038517,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",957034,165538,2017,12
"52","18-24","S",2017-12-19,172786720,121,0,235,40.630027199,"M","PL 2211001",-74.132287986,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",947531,168837,2017,12
"53","25-44","S",2017-12-19,172755981,122,0,235,40.542091779,"M","PL 2200300",-74.148121122,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",943082,136807,2017,12
"54","25-44","S",2017-12-19,172755982,122,0,117,40.542091779,"F","PL 2204301",-74.148121122,"DANGEROUS DRUGS",512,"CONTROLLED SUBSTANCE,SALE 1","WHITE","M",943082,136807,2017,12
"55","25-44","S",2017-12-19,172755980,122,0,117,40.542091779,"F","PL 2212500",-74.148121122,"DANGEROUS DRUGS",568,"MARIJUANA, POSSESSION 1, 2 & 3","WHITE","M",943082,136807,2017,12
"56","25-44","S",2017-12-19,172755984,122,0,117,40.538899202,"F","PL 2201601",-74.1462576,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",943598,135643,2017,12
"57","25-44","S",2017-12-18,172738762,121,0,235,40.63165017,"M","PL 2211001",-74.161718581,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939363,169442,2017,12
"58","25-44","S",2017-12-18,172712147,120,0,235,40.627903284,"M","PL 2200300",-74.111010657,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","HISPANIC","M",953436,168055,2017,12
"59","25-44","S",2017-12-18,172738759,121,0,235,40.639995466,"M","PL 2211001",-74.137658521,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",946046,172471,2017,12
"60","25-44","S",2017-12-17,172699034,121,0,235,40.630070957,"M","PL 2211001",-74.156458444,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","HISPANIC","M",940822,168864,2017,12
"61","18-24","S",2017-12-17,172695379,121,0,235,40.636032663,"M","PL 2211001",-74.134771549,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",946845,171026,2017,12
"62","25-44","S",2017-12-16,172682749,122,0,117,40.577977931,"F","PL 2201601",-74.127094679,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","F",948945,149872,2017,12
"63","18-24","S",2017-12-16,172681820,122,0,235,40.574285688,"M","PL 2205003",-74.105914405,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",954827,148519,2017,12
"64","18-24","S",2017-12-16,172680639,120,0,235,40.645448462,"M","PL 2211001",-74.080813638,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961824,174438,2017,12
"65","25-44","S",2017-12-16,172675656,123,9,678,40.52491179,"V","PL 2210500",-74.200635415,"MISCELLANEOUS PENAL LAW",566,"MARIJUANA, POSSESSION","WHITE","M",928472,130577,2017,12
"66","25-44","S",2017-12-16,172681823,121,0,235,40.634333532,"M","PL 2211001",-74.137182065,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","HISPANIC","M",946175,170408,2017,12
"67","45-64","S",2017-12-16,172675655,120,0,117,40.61572972,"F","PL 2201601",-74.096233418,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","M",957533,163615,2017,12
"68","25-44","S",2017-12-16,172671993,121,0,235,40.636538626,"M","PL 2200300",-74.167484465,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",937766,171226,2017,12
"69","18-24","S",2017-12-16,172681824,120,0,117,40.630299493,"F","PL 2201601",-74.088904943,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",959573,168921,2017,12
"70","25-44","S",2017-12-16,172680642,120,0,117,40.630299493,"F","PL 2201601",-74.088904943,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",959573,168921,2017,12
"71","18-24","S",2017-12-14,172626603,121,0,235,40.625987024,"M","PL 2211001",-74.156221915,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",940885,167376,2017,12
"72","18-24","S",2017-12-14,172629448,123,0,235,40.511586338,"M","PL 2211001",-74.249303727,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","F",914928,125757,2017,12
"73","45-64","S",2017-12-14,172629609,123,0,235,40.511586338,"M","PL 2200300",-74.249303727,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",914928,125757,2017,12
"74","25-44","S",2017-12-14,172593009,121,0,235,40.632558195,"M","PL 2211001",-74.158132378,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","HISPANIC","M",940359,169771,2017,12
"75","65+","S",2017-12-14,172610793,120,0,117,40.645022746,"F","PL 2201611",-74.077216847,"DANGEROUS DRUGS",502,"CONTROLLED SUBSTANCE,POSSESS 3","WHITE","M",962822,174282,2017,12
"76","65+","S",2017-12-14,172601990,123,0,235,40.508821556,"M","PL 2200300",-74.238015877,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",918064,124741,2017,12
"77","18-24","S",2017-12-13,172580492,121,0,235,40.587649961,"M","PL 2205003",-74.160521108,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",939666,153411,2017,12
"78","18-24","S",2017-12-13,172578903,120,0,235,40.614624398,"M","PL 2211002",-74.084716734,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",960730,163209,2017,12
"79","18-24","S",2017-12-13,172578902,120,0,235,40.614624398,"M","PL 2211002",-74.084716734,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",960730,163209,2017,12
"80","18-24","S",2017-12-12,172537409,121,0,235,40.63597097,"M","PL 2214000",-74.161365149,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","BLACK","M",939464,171016,2017,12
"81","25-44","S",2017-12-12,172523374,120,0,117,40.640754918,"F","PL 2201601",-74.076747088,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",962951,172727,2017,12
"82","18-24","S",2017-12-12,172537410,121,0,235,40.63597097,"M","PL 2200300",-74.161365149,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",939464,171016,2017,12
"83","25-44","S",2017-12-11,172493234,120,0,235,40.612734035,"M","PL 2211001",-74.071413112,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","HISPANIC","M",964423,162517,2017,12
"84","45-64","S",2017-12-11,172503419,120,0,235,40.63743602,"M","PL 2211001",-74.11373963,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",952683,171529,2017,12
"85","18-24","S",2017-12-11,172493231,121,0,235,40.638085889,"M","PL 2211001",-74.162299866,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939206,171787,2017,12
"86","45-64","S",2017-12-10,172470990,120,0,235,40.637167857,"M","PL 2200300",-74.076180885,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",963107,171420,2017,12
"87","25-44","S",2017-12-10,172471799,122,0,235,40.55320268,"M","PL 2200300",-74.164342758,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",938581,140863,2017,12
"88","18-24","S",2017-12-10,172466894,120,0,235,40.611705171,"M","PL 2200300",-74.075038907,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",963416,162143,2017,12
"89","45-64","S",2017-12-09,172431287,121,0,117,40.63122789,"F","PL 2200901",-74.165284272,"DANGEROUS DRUGS",505,"CONTROLLED SUBSTANCE, POSSESSION 4","BLACK","M",938373,169290,2017,12
"90","25-44","S",2017-12-09,172450460,121,0,235,40.626179658,"M","PL 2211001",-74.134088798,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","HISPANIC","M",947029,167436,2017,12
"91","25-44","S",2017-12-09,172431285,121,0,117,40.63122789,"F","PL 2200602",-74.165284272,"DANGEROUS DRUGS",507,"CONTROLLED SUBSTANCE, POSSESSION 5","BLACK","M",938373,169290,2017,12
"92","18-24","S",2017-12-08,172414664,121,0,117,40.587391915,"F","PL 2200601",-74.191044497,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","F",931188,153334,2017,12
"93","18-24","S",2017-12-08,172420621,123,0,235,40.511886989,"M","PL 2200300",-74.25114976,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",914415,125868,2017,12
"94","25-44","S",2017-12-08,172414663,120,0,235,40.607808725,"M","PL 2200300",-74.08139473,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",961650,160725,2017,12
"95","25-44","S",2017-12-08,172417341,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","HISPANIC","M",962822,174282,2017,12
"96","45-64","S",2017-12-08,172413001,120,0,117,40.641499463,"F","PL 2201601",-74.075677766,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","HISPANIC","M",963248,172998,2017,12
"97","25-44","S",2017-12-08,172419076,123,0,235,40.531191935,"M","PL 2214000",-74.170037203,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","WHITE","M",936983,132847,2017,12
"98","<18","S",2017-12-08,172419078,123,0,117,40.511886989,"F","PL 2200601",-74.25114976,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",914415,125868,2017,12
"99","25-44","S",2017-12-08,172415869,121,0,235,40.630884936,"M","PL 2200300",-74.149118002,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",942860,169157,2017,12
"100","25-44","S",2017-12-07,172394593,121,0,117,40.63272741,"F","PL 2200601",-74.146423605,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",943609,169827,2017,12
"101","25-44","S",2017-12-07,172354282,120,0,235,40.623816017,"M","PL 2211001",-74.073780898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",963769,166555,2017,12
"102","25-44","S",2017-12-07,172383031,123,0,117,40.560979671,"F","PL 2200601",-74.195302111,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","HISPANIC","M",929984,143714,2017,12
"103","25-44","S",2017-12-07,172369477,121,11,117,40.623226819,"F","PL 2201801",-74.149226973,"DANGEROUS DRUGS",501,"CONTROLLED SUBSTANCE,POSSESS 2","WHITE","M",942825,166367,2017,12
"104","25-44","S",2017-12-07,172354283,120,0,235,40.623816017,"M","PL 2211001",-74.073780898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",963769,166555,2017,12
"105","18-24","S",2017-12-07,172391709,121,0,235,40.628910623,"M","PL 2200300",-74.143277352,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","HISPANIC","M",944480,168435,2017,12
"106","18-24","S",2017-12-06,172347010,120,0,235,40.637533139,"M","PL 2211001",-74.120783817,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",950728,171567,2017,12
"107","18-24","S",2017-12-06,172310773,121,0,235,40.629835927,"M","PL 2211001",-74.14737557,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",943343,168774,2017,12
"108","18-24","S",2017-12-06,172348847,120,0,235,40.643440396,"M","PL 2200300",-74.079207694,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","HISPANIC","F",962269,173706,2017,12
"109","45-64","S",2017-12-06,172350759,123,0,235,40.512038254,"M","PL 2200300",-74.249754952,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",914803,125922,2017,12
"110","25-44","S",2017-12-06,172335578,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","F",962822,174282,2017,12
"111","25-44","S",2017-12-05,172310193,120,0,235,40.63968673,"M","PL 2200300",-74.077441276,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",962758,172338,2017,12
"112","18-24","S",2017-12-05,172310195,120,0,235,40.63968673,"M","PL 2205003",-74.077441276,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","BLACK","M",962758,172338,2017,12
"113","25-44","S",2017-12-05,172296354,123,0,117,40.556009758,"F","PL 2200601",-74.194744181,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",930135,141903,2017,12
"114","25-44","S",2017-12-05,172310294,120,0,117,40.637804112,"F","PL 2201601",-74.076985101,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","HISPANIC","M",962884,171652,2017,12
"115","25-44","S",2017-12-05,172310196,120,0,235,40.641594047,"M","PL 2200300",-74.077901109,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",962631,173033,2017,12
"116","18-24","S",2017-12-05,172310197,120,0,235,40.63968673,"M","PL 2205003",-74.077441276,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","BLACK","M",962758,172338,2017,12
"117","25-44","S",2017-12-05,172293484,123,0,117,40.556009758,"F","PL 2200601",-74.194744181,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",930135,141903,2017,12
"118","25-44","S",2017-12-04,172265141,121,0,235,40.632173334,"M","PL 2200300",-74.166331423,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",938083,169635,2017,12
"119","25-44","S",2017-12-03,172209341,122,0,117,40.60504449,"F","PL 2200601",-74.073583688,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","BLACK","M",963818,159716,2017,12
"120","<18","S",2017-12-02,172202831,122,0,235,40.556234226,"M","PL 2205002",-74.140645593,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",945168,141956,2017,12
"121","25-44","S",2017-12-02,172201937,122,0,235,40.566060947,"M","PL 2200300",-74.138139626,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",945870,145535,2017,12
"122","25-44","S",2017-12-02,172201940,120,0,235,40.645448462,"M","PL 2211001",-74.080813638,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961824,174438,2017,12
"123","18-24","S",2017-12-02,172198333,120,0,235,40.616196116,"M","PL 2200300",-74.069958035,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",964828,163778,2017,12
"124","18-24","S",2017-12-02,172201936,120,0,235,40.637804112,"M","PL 2200300",-74.076985101,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",962884,171652,2017,12
"125","18-24","S",2017-12-02,172201942,122,0,235,40.556234226,"M","PL 2205002",-74.140645593,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",945168,141956,2017,12
"126","18-24","S",2017-12-02,172201939,122,0,235,40.556234226,"M","PL 2205002",-74.140645593,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,POSSESSES OR SELLS 2","WHITE","M",945168,141956,2017,12
