PDCODE_VALUE,LAW_NYS,CATEGORY,LIT_LONG,LIT_SHORT
106,PL 120.08   00T   ,F,PL490.25/CRM TERORSM:ASLT OFCR,PL49025-ASSAULT
106,PL 120.11         ,F,ASLT POLICE OFFR DEADLY WEAPON,AGGR ASSAULT   
107,PL 260.32   01    ,F,ENDANGER ADULT 2-CAUSE INJURY ,ENDANGR ADULT 2
107,PL 260.32   02    ,F,ENDANGER ADULT 2-CAUSE INJURY ,ENDANGR ADULT 2
107,PL 260.32   03    ,F,ENDANGER ADULT 2-WEAPON       ,ENDANGR ADULT 2
107,PL 260.34   01    ,F,ENDANGER ADULT 1-SERIOUS INJRY,ENDANGR ADULT 1
107,PL 260.34   02    ,F,ENDANGER ADULT 1-SERIOUS INJRY,ENDANGR ADULT 1
109,PL 120.00   01H   ,F,HATE CRIME/ASLT 3-CAUSE INJURY,ASSAULT 3-HATE 
109,PL 120.00   02H   ,F,HATE CRIME/ASLT-3: RCKLESS INJ,ASSAULT 3-HATE 
109,PL 120.00   03H   ,F,HATE CRIME/ASLT 3-WEAPON      ,ASSAULT 3-HATE 
109,PL 120.01         ,F,RECK ASLT CHILD:DAY CARE PROV ,ASSAULT CHILD  
109,PL 120.02   01    ,F,RECK ASSALT CHILD-BRAIN INJURY,ASSAULT CHILD  
109,PL 120.05   00X   ,F,ASSAULT-2ND:SEXUALLY MOTIVATED,ASLT 2-SX MOTIV
109,PL 120.05   01    ,F,ASLT 2: SERIOUS INJURY        ,ASSAULT 2ND    
109,PL 120.05   01H   ,F,HATE CRIME/ ASLT 2 SERIOUS INJ,ASLT 2/HATE CRM
109,PL 120.05   01T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   01X   ,F,SEX MOT/ASLT-2:INT CAUSE INJ  ,ASLT 2-SX MOTIV
109,PL 120.05   02    ,F,ASLT 2: SERIOUS INJ W/ WEAPON ,ASSAULT 2ND    
109,PL 120.05   02H   ,F,HATE CRIME/ASLT 2 INJ W/ WEAP ,ASLT 2/HATE CRM
109,PL 120.05   02T   ,F,PL490.25 CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   02X   ,F,ASLT-2:INJ W/WEAPON-SEX MOTIV ,ASLT 2-SX MOTIV
109,PL 120.05   03H   ,F,ASLT-2-POLICE/FIREMAN/HATE CRM,ASSAULT 2-HATE 
109,PL 120.05   03H1  ,F,HATE CRIME/ASSAULT 2ND DEGREE ,HATE ASSAULT 2 
109,PL 120.05   03T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   03X   ,F,ASLT-2-CAUS INJ TO OFF-SEX MOT,ASLT 2-SX MOTIV
109,PL 120.05   04    ,F,ASLT 2: RCK CAUS SER IN W/WEAP,ASSAULT 2ND    
109,PL 120.05   04H   ,F,HATE CRIME/ ASLT RKLSLY INJURE,ASLT 2/HATE CRM
109,PL 120.05   04T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   04X   ,F,ASLT-2:INJURE W/WEAPON-SEX MOT,ASLT 2-SX MOTIV
109,PL 120.05   05    ,F,ASLT 2: IMPAIR-DRUG/SUBSTANCE ,ASSAULT 2ND    
109,PL 120.05   05H   ,F,ASLT IMPAIR DRUG/HATE CRIM    ,ASLT 2/HATE CRM
109,PL 120.05   05T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   05X   ,F,ASLT-2:IMPAIR W/DRUG-SEX MOTIV,ASLT 2-SX MOTIV
109,PL 120.05   06    ,F,ASSAULT ON NON-PARTIC DUR FELY,ASSAULT 2      
109,PL 120.05   06H   ,F,HATE CRIME/ASLT NON-PART FEL  ,ASLT 2/HATE CRM
109,PL 120.05   06T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   06X   ,F,SEX MOTIVATED/ASLT 2:INJ/FEL  ,ASLT 2-SX MOTIV
109,PL 120.05   07    ,F,ASSLT WHILE CONF IN CORR FACIL,ASSAULT 2      
109,PL 120.05   07H   ,F,ASLT IN CORR FAC/HATE CRIME   ,ASLT 2/HATE CRM
109,PL 120.05   07T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   07X   ,F,ASLT-2:CORR FACILITY-SEX MOTIV,ASLT 2-SX MOTIV
109,PL 120.05   08    ,F,ASLT CAUS INJ PERSON < 11 YRS ,ASSAULT 2      
109,PL 120.05   08H   ,F,ASLT PERSON < 11/HATE CRIME   ,ASLT 2/HATE CRM
109,PL 120.05   08T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   08X   ,F,ASLT-2:PER 18/> VIC<11-SEX MOT,ASLT 2-SX MOTIV
109,PL 120.05   09    ,F,ASSLT CAUS INJ PERSON<7 YRS   ,ASSAULT 2      
109,PL 120.05   09H   ,F,HATE CRIME/ASLT PERSON < 7    ,ALST 2/HATE CRM
109,PL 120.05   09T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   09X   ,F,ASLT-2: PER 18/> VIC<7-SEX MOT,ASLT 2-SX MOTIV
109,PL 120.05   10    ,F,ASSLT INJURY ON SCHOOL GROUNDS,ASSAULT 2      
109,PL 120.05   10A   ,F,ASLT2 INJURY ON SCHOOL GROUNDS,ASSAULT 2      
109,PL 120.05   10AH  ,F,ASSAULT AT SCHOOL/HATE CRIME  ,ASLT-2/HATE CRM
109,PL 120.05   10AT  ,F,PL490.25 CRM TERORSM:ASSAULT 2,49025-ASSAULT 2
109,PL 120.05   10AX  ,F,ASLT-2:SCHL EMPLOYEE-SEX MOTIV,ASLT 2-SX MOTIV
109,PL 120.05   10B   ,F,ASLT2 INJURY ON SCHOOL GROUNDS,ASSAULT 2      
109,PL 120.05   10BH  ,F,ASSAULT AT SCHOOL/HATE CRIME  ,ASLT-2/HATE CRM
109,PL 120.05   10BT  ,F,PL490.25 CRM TERORSM:ASSAULT 2,49025-ASSAULT 2
109,PL 120.05   10BX  ,F,ASLT-2:STUDNT-SCHOOL-SEX MOTIV,ASLT 2-SX MOTIV
109,PL 120.05   10H   ,F,ASSLT SCHOOL GROUNDS HATE CRM ,ASLT-2/HATE CRM
109,PL 120.05   10T   ,F,PL490.25/CRM TERORSM:ASSAULT-2,49025-ASSAULT 2
109,PL 120.05   10X   ,F,ASLT-2:ON SCHL GRNDS-SEX MOTIV,ASLT 2-SX MOTIV
109,PL 120.05   11    ,F,ASLT-2:INJURE TRANSIT EMPLOYEE,ASSAULT 2ND    
109,PL 120.05   11H   ,F,ASLT-2:INJ TRANSIT EMP/HATE CR,ASSAULT 2-HATE 
109,PL 120.05   11T   ,F,PL490.25/TEROR:ASLT2-TRAN EMP ,49025-ASSAULT 2
109,PL 120.05   11X   ,F,ASLT-2-TRANSIT EMPLY-SEX MOT  ,ASLT2-SEX MOTIV
109,PL 120.05   12    ,F,ASLT-2: INJURE VIC 65 OR OLDER,ASSAULT-2ND    
109,PL 120.05   12H   ,F,ASLT-2:VIC 65 OR OLDR/HATE CRM,ASLT 2-HATE CRM
109,PL 120.05   12T   ,F,PL 490.25/TERROR:ASLT 2-VIC 65,49025-ASSAULT 2
109,PL 120.05   12X   ,F,ASLT-2:VIC 65 OR > SEX MOTIV  ,ASLT 2-SX MOTIV
109,PL 120.06         ,F,GANG ASSAULT 2ND DEGREE       ,GANG ASLT 2ND  
109,PL 120.06   00T   ,F,PL490.25/CRM TERORSM:GANG ASLT,49025-ASSAULT2 
109,PL 120.06   00X   ,F,GANG ASLT-2:SEXUALLY MOTIVATED,GNG ASLT-SX MOT
109,PL 120.07         ,F,GANG ASSAULT 1ST DEGREE       ,GANG ASLT 1ST  
109,PL 120.07   00T   ,F,PL490.25/CRM TERORSM:GANG ASLT,49025-ASSAULT1 
109,PL 120.07   00X   ,F,GANG ASLT-1:SEXUALLY MOTIVATED,GNG ASLT-SX MOT
109,PL 120.10   00X   ,F,ASSAULT-1ST:SEXUALLY MOTIVATED,ASLT 1-SX MOTIV
109,PL 120.10   01    ,F,ASLT W/INT CAUS SER INJ W/WEAP,ASSAULT 1ST    
109,PL 120.10   01H   ,F,ASSAULT INJ WEAPON/HATE CRIME ,ASLT 1/HATE CRM
109,PL 120.10   01T   ,F,PL490.25/CRM TERORSM:ASLT 1ST ,49025-ASSAULT-1
109,PL 120.10   01X   ,F,ASLT-1:INJURY W/WEAP-SEX MOTIV,ASLT 1-SX MOTIV
109,PL 120.10   02    ,F,ASLT:W/INT CAUS DISFIG/DISMEMB,ASSAULT 1ST    
109,PL 120.10   02H   ,F,ASLT DISFIG/DISMEMB/HATE CRIME,ASLT 1/HATE CRM
109,PL 120.10   02T   ,F,PL490.25/CRM TERORSM:ASLT 1ST ,49025-ASSAULT-1
109,PL 120.10   02X   ,F,ASLT-1:INT DISFIGURE-SEX MOTIV,ASLT 1-SX MOTIV
109,PL 120.10   03    ,F,ASLT:CAUS INJ THRU RISK DEATH ,ASSAULT 1ST    
109,PL 120.10   03H   ,F,ASLT INJ RISK DEATH/HATE CRIME,ALST 1/HATE CRM
109,PL 120.10   03T   ,F,PL490.25/CRM TERORSM:ASLT 1ST ,49025-ASSAULT-1
109,PL 120.10   03X   ,F,ASLT-1:RISK OF DEATH-SEX MOTIV,ASLT 1-SX MOTIV
109,PL 120.10   04    ,F,ASLT:W/INJ CAUS INJ DURING FEL,ASSAULT 1ST    
109,PL 120.10   04H   ,F,ASLT INJ DURING FEL/HATE CRIME,ASLT 1/HATE CRM
109,PL 120.10   04T   ,F,PL490.25/CRM TERORSM:ASSAULT-1,49025-ASSAULT-1
109,PL 120.10   04X   ,F,ASLT-1:INJURY-FELONY-SEX MOTIV,ASLT 1-SX MOTIV
109,PL 120.11   00T   ,F,PL490.25/CRM TERORSM:ASLT OFCR,49025-AGG ASLT 
109,PL 120.12         ,F,ASLT ON PERSON < 11 YEARS OLD ,AGGR ASSAULT   
109,PL 120.12   00H   ,F,HATE CRIME/ASLT ON PERSON < 11,ASLT-HATE CRIME
109,PL 120.50   01H   ,F,STALKING-3RD/AS A HATE CRIME  ,STALKING 3-HATE
109,PL 120.50   02H   ,F,STALKING-3RD/AS A HATE CRIME  ,STALKING 3-HATE
109,PL 120.50   03H   ,F,STALKING-3RD/AS A HATE CRIME  ,STALKING 3-HATE
109,PL 120.50   04H   ,F,STALKING-3RD/AS A HATE CRIME  ,STALKING 3-HATE
109,PL 120.55   01    ,F,STALKING 2ND:DISPLAYS WEAPON  ,STALKING 2ND   
109,PL 120.55   01H   ,F,STALKING-2ND/AS A HATE CRIME  ,STALK/HATE CRM 
109,PL 120.55   02    ,F,STALKING 2ND:PRIOR SPEC CRIME ,STALKING 2ND   
109,PL 120.55   02H   ,F,STALKING-2ND/ AS A HATE CRIME ,STALK/HATE CRM 
109,PL 120.55   03    ,F,STALKING 2ND:PRIOR STALK CONV ,STALKING 2ND   
109,PL 120.55   03H   ,F,STALKING-2ND/AS A HATE CRIME  ,STALK/HATE CRM 
109,PL 120.55   04    ,F,STALKING 2ND:VICTIM < 14      ,STALKING 2ND   
109,PL 120.55   04H   ,F,STALKING-2ND:< 14/HATE CRIME  ,STALK/HATE CRM 
109,PL 120.55   05    ,F,STALKNG 2ND:10 OR MORE PERSONS,STALKING 2ND   
109,PL 120.55   05H   ,F,STALKNG 2:10 PERSONS/HATE CRM ,STALK-HATE CRM 
109,PL 120.60   00X   ,F,STALKING-1: SEXUALLY MOTIVATED,STALK1-SX MOTIV
109,PL 120.60   01    ,F,STALKING 1ST:CAUSE INJURY     ,STALKING 1ST   
109,PL 120.60   01H   ,F,STALKING-1ST/AS A HATE CRIME  ,STALK/HATE CRM 
109,PL 120.60   01T   ,F,PL490.25/CRM TERORSM:STALK 1ST,PL49025-STALK-1
109,PL 120.60   01X   ,F,STALK-1ST:INJURE VIC-SEX MOTIV,STALK1-SX MOTIV
109,PL 120.60   02    ,F,STALKING 1ST:SEX OFFENSE      ,STALKING 1ST   
109,PL 120.60   02H   ,F,STALKING-1ST/AS A HATE CRIME  ,STALK/HATE CRM 
109,PL 120.60   02T   ,F,PL490.25/CRM TERORSM:STALK 1ST,PL49025-STALK-1
109,PL 120.60   02X   ,F,STALK-1ST:COMMIT OFF-SEX MOTIV,STALK1-SX MOTIV
109,PL 125.11         ,F,AGGRAV CRIM NEGLIGENT HOMICIDE,AGG NEG HOMICID
109,PL 125.11   00T   ,F,PL490.25/TEROR:AG CRIM NEG HOM,49025-NEG HOM  
109,PL 125.13   06    ,F,VEH MANSLATR 1:KILL CHILD PASS,VEH MANSLAUTR-1
109,PL 125.14   07    ,F,AGG VEH HOM:KILL CHILD PASS   ,AGG VEH HOMCIDE
112,PL 120.13         ,F,MENACING-1ST DEGREE           ,MENACING-1ST   
112,PL 120.13   00H   ,F,HATE CRIME/MENACING 1ST       ,MENACE-HATE CRM
112,PL 120.14   01H   ,F,HATE CRIME/MENACING-2 WEAPON  ,MENACE 2- HATE 
112,PL 120.14   02H   ,F,HATE CRIME/MENACING-2:FOLLOWS ,MENACE 2- HATE 
112,PL 120.14   03H   ,F,HATE CRIME/MENAC 2 ORDER PROT ,MENACE 2- HATE 
112,PL 120.18         ,F,MENACING POLICE/PEACE OFFICER ,MENACE OFFICER 
112,PL 120.18   00T   ,F,PL490.25/TERROR:MENACE OFFICER,49025-MENACING 
113,PL 120.14   01    ,M,MENACING-2ND:WEAPON           ,MENACING 2ND   
113,PL 120.14   02    ,M,MENACING-2ND:STALKING         ,MENACING 2ND   
113,PL 120.14   03    ,M,MENACING-2ND:VIOL ORDER PROT  ,MENACING 2ND   
113,PL 120.15         ,M,MENACING-3RD                  ,MENACING 3RD   
113,PL 120.15   00H   ,M,HATE CRIME/MENACING-3RD       ,MENACE-HATE CRM
113,PL 120.45   01H   ,M,STALKING-4TH/AS A HATE CRIME  ,STALK/HATE CRM 
113,PL 120.45   02H   ,M,STALKING-4TH/AS A HATE CRIME  ,STALK/HATE CRM 
113,PL 120.45   03H   ,M,STALKING-4TH/ AS A HATE CRIME ,STALK/HATE CRM 
113,PL 120.50   01    ,M,STALKING 3RD:MULTIPLE PERSONS ,STALKING 3RD   
113,PL 120.50   02    ,M,STALKING 3RD:PRIOR SPEC CRIME ,STALKING 3RD   
113,PL 120.50   03    ,M,STALKING 3RD:THREAT INJURY    ,STALKING 3RD   
113,PL 120.50   04    ,M,STALKING 3RD:PRIOR STALK CONV ,STALKING 3RD   
114,PL 121.11         ,M,CRIM OBSTRUCTION BREATHING    ,OBSTRUCT BREATH
114,PL 121.11   A     ,M,CRIM OBSTRUC BREATH/APLY PRESS,OBSTRUCT BREATH
114,PL 121.11   B     ,M,CRIM OBSTRUC BREATH/BLOCK NOSE,OBSTRUCT BREATH
115,PL 120.20         ,M,RECKLESS ENDANGERMENT-2ND     ,RECK ENDANG 2  
115,PL 145.40         ,M,TAMPERING/CONSUMER PRODUCT 2ND,PRODCT TAMPER 2
117,PL 120.20   00H   ,F,HATE CRIME/RECK ENDANGER-2ND  ,REC ENDANG-HATE
117,PL 120.25         ,F,RECKLESS ENDANGERMENT-1ST     ,RECK ENDANG 1  
117,PL 120.25   00H   ,F,HATE CRIME/RECK ENDANGER-1ST  ,REC END/HTE CRM
117,PL 145.45         ,F,TAMPERING/CONSUMER PRODUCT 1ST,PRODCT TAMPER 1
119,PL 120.30         ,F,PROMOTING SUICIDE ATTEMPT     ,PRO SUICIDE ATT
122,PL 125.12   01    ,F,VEH MANSLTR-2ND:VEHICLE/VESSEL,VEH MANSLAUTR-2
122,PL 125.12   02    ,F,VEH MANSLTR-2ND: MV W/HAZ MAT ,VEH MANSLAUTR-2
122,PL 125.12   03    ,F,VEH MANSLTR 2:SNOW/ATV ALC/DRG,VEH MANSLAUTR-2
122,PL 125.13         ,F,VEHICULAR MANSLAUGHTER-1ST DEG,VEH MANSLAUTR-1
122,PL 125.13   01    ,F,VEH MANS1 .18OF 1%OR MORE ALC ,VEH MANSLAUTR-1
122,PL 125.13   03    ,F,VEH MANS 1: PREV CONV VTL 1192,VEH MANSLAUTR-1
122,PL 125.13   04    ,F,VEH MANS 1:KILL>1 OTHER PERSON,VEH MANSLAUTR-1
122,PL 125.13   05    ,F,VEH MANS 1ST:CONV PL120/125-MV,VEH MANSLAUTR-1
122,PL 125.13   2A    ,F,VEH MAN-1ST:LIC OTH ST SUS/REV,VEH MANSLAUTR-1
122,PL 125.13   2B    ,F,VEH MANS-1ST:LICENSE SUSP/REV ,VEH MANSLAUTR-1
123,PL 125.14         ,F,AG VEH HOMIC-VT 1212/PL 125.12,AG VEH HOMICIDE
123,PL 125.14   01    ,F,AGGR VEH HOM .18 OF 1% OR MORE,AG VEH HOMICIDE
123,PL 125.14   02A   ,F,AGG VEH HOM:LIC OTH ST SUS/REV,AG VEH HOMICIDE
123,PL 125.14   02B   ,F,AGGR VEH HOM: LICENSE SUSP/REV,AG VEH HOMICIDE
123,PL 125.14   03    ,F,AG VEH HOM: PREV CONV VTL 1192,AG VEH HOMICIDE
123,PL 125.14   04    ,F,AG VEH HOM:KILL>1 OTHER PERSON,AG VEH HOMICIDE
123,PL 125.14   05    ,F,AG VEH HOM:KILL 1 PERS-INJ OTH,AG VEH HOMICIDE
123,PL 125.14   06    ,F,AG VEHIC HOM:CONV PL120/125-MV,AG VEH HOMICIDE
124,PL 125.21         ,F,AGGRAV MANSLAUGHTER 2ND DEGREE,AGG MANSLAUTR-2
124,PL 125.21   00T   ,F,PL490.25/TERROR: AGG MANSLTR-2,49025-AG MANSLT
124,PL 125.22         ,F,AGGRAV MANSLAUGHTER 1ST DEGREE,AGG MANSLAUTR-1
124,PL 125.22   00T   ,F,PL490.25/TERROR:AGG MANSLTR-1 ,49025-AG MANSLT
124,PL 125.22   01    ,F,AGG MANSL-1:INTENT CAUSE INJRY,AGG MANSLAUTR-1
124,PL 125.22   01T   ,F,PL490.25/TERROR:AGG MAN-INJURY,49025-AG MANSLT
124,PL 125.22   02    ,F,AGG MANSL-1:EMOTIONAL DISTURB ,AGG MANSLAUTR-1
124,PL 125.22   02T   ,F,PL490.25/TERROR:AG MAN-EMOTION,49025-AG MANSLT
125,PL 125.10         ,F,CRIMINALLY NEGLIGENT HOMICIDE ,CRIM NEG HOM   
126,PL 240.71         ,F,CRIMINAL INTERFERENCE 1ST     ,CRIM INTER 1ST 
129,PL 125.15   00T   ,F,PL490.25/CRM TERROSM:MANSLTR2 ,PL49025 MANS 2 
129,PL 125.15   01    ,F,MANSL:RECKLESSLY CAUSES DEATH ,MANSLAUGHTER 2 
129,PL 125.15   01H   ,F,MANSLAUGHTER-2ND/HATE CRIME   ,MAN-2/HATE CRIM
129,PL 125.15   01T   ,F,PL490.25/CRM TERORSM:MANSLTR2 ,PL49025 MANS2  
129,PL 125.15   01X   ,F,MAN-2:RECKLESS DEATH-SEX MOTIV,MAN 2-SEX MOTIV
129,PL 125.15   02    ,F,MANSL:ILL ABORTION CAUSE DEATH,MANSLAUGHTER 2 
129,PL 125.15   02T   ,F,PL490.25/CRM TERORSM:MANSLTR2 ,PL49025-MANS2  
129,PL 125.15   03    ,F,MANSL:INTENT AID TO SUICIDE   ,MANSLAUGHTER 2 
129,PL 125.15   03T   ,F,PL490.25/CRM TERORSM:MANSLTR2 ,PL49025-MANS2  
129,PL 125.20   00X   ,F,MANSLAUGHTER-1ST:SEX MOTIVATED,MAN 1-SEX MOTIV
129,PL 125.20   01    ,F,MANSL:W/INT TO CAUS PHYS INJRY,MANSLAUGHTER 1 
129,PL 125.20   01H   ,F,MANSLAUGHTER-1ST/HATE CRIME   ,MAN-1/HATE CRM 
129,PL 125.20   01T   ,F,PL490.25/CRM TERORSM:MANSLTR 1,PL49025-MANS-1 
129,PL 125.20   01X   ,F,MAN-1: INTENT INJURE-SEX MOTIV,MAN 1-SEX MOTIV
129,PL 125.20   02    ,F,MANSL:UNDR EMOTIONL DISTURBNCE,MANSLAUGHTER 1 
129,PL 125.20   02H   ,F,MANSLAUGHTER-1ST/HATE CRIME   ,MAN-1/HATE CRM 
129,PL 125.20   02T   ,F,PL490.25/CRM TERORSM:MANSLTR 1,PL49025-MANS-1 
129,PL 125.20   02X   ,F,MAN-1: W/INTENT KILL-SEX MOTIV,MAN 1-SEX MOTIV
129,PL 125.20   03    ,F,MANSL:ABORTION > 24 WEEKS PREG,MANSLAUGHTER 1 
129,PL 125.20   03T   ,F,PL490.25/CRM TERORSM:MANSLTR 1,PL49025-MANS-1 
129,PL 125.20   03X   ,F,MAN-1:ABORTION>24WKS-SEX MOTIV,MAN 1-SEX MOTIV
129,PL 125.20   04    ,F,MANSLAUGHTER PERSON < 11 YEARS,MANSLAUGHTER 1 
129,PL 125.20   04H   ,F,MANSLAUGHTER-1ST/HATE CRIME   ,MANSL1-HATE CRM
