,X,age_group,arrest_boro,arrest_date,arrest_key,arrest_precinct,jurisdiction_code,ky_cd,latitude,law_cat_cd,law_code,longitude,ofns_desc,pd_cd,pd_desc,perp_race,perp_sex,x_coord_cd,y_coord_cd,year,month,Marijuana,Sale,Intent,School
14,14,45-64,S,12/27/17,173026263,122,0,235,40.55033412,M,PL 2200300,-74.14624665,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,943608,139809,2017,12,0,0,0,0
15,15,25-44,S,12/27/17,173024200,120,0,117,40.63968673,F,PL 2201601,-74.07744128,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE HISPANIC,M,962758,172338,2017,12,0,0,1,0
16,16,25-44,S,12/27/17,173026173,123,0,235,40.54138656,M,PL 2200300,-74.16978611,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,937060,136561,2017,12,0,0,0,0
17,17,25-44,S,12/26/17,172970129,122,0,235,40.60479546,M,PL 2200300,-74.08447018,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,960795,159628,2017,12,0,0,0,0
18,18,45-64,S,12/26/17,172970128,122,0,235,40.60479546,M,PL 2200300,-74.08447018,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,960795,159628,2017,12,0,0,0,0
19,19,25-44,S,12/26/17,172953022,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962822,174282,2017,12,0,0,1,0
20,20,25-44,S,12/26/17,172953024,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962822,174282,2017,12,0,0,1,0
21,21,45-64,S,12/26/17,172967548,120,0,235,40.63881218,M,PL 2200300,-74.08747142,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,959974,172022,2017,12,0,0,0,0
22,22,25-44,S,12/26/17,172977328,120,0,235,40.63923551,M,PL 2211001,-74.07901894,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,962320,172174,2017,12,1,0,0,0
23,23,25-44,S,12/26/17,172982593,123,0,235,40.54802256,M,PL 2200300,-74.22608334,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,921419,139014,2017,12,0,0,0,0
24,24,25-44,S,12/23/17,172913874,120,0,117,40.64075492,F,PL 2201601,-74.07674709,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,962951,172727,2017,12,0,0,1,0
25,25,45-64,S,12/23/17,172894178,120,0,235,40.62437431,M,PL 2200300,-74.08032342,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,961953,166760,2017,12,0,0,0,0
26,26,18-24,S,12/23/17,172921231,120,0,117,40.61549122,F,PL 2201601,-74.08165623,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,961580,163524,2017,12,0,0,1,0
27,27,45-64,S,12/22/17,172891802,120,0,117,40.63810268,F,PL 2201601,-74.07790064,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,962630,171761,2017,12,0,0,1,0
28,28,25-44,S,12/22/17,172877874,121,0,117,40.62058297,F,PL 2204402,-74.16378463,DANGEROUS DRUGS,523,SALE SCHOOL GROUNDS,WHITE,F,938782,165411,2017,12,0,1,0,1
29,29,18-24,S,12/22/17,172890082,120,0,117,40.63714245,F,PL 2201601,-74.11635855,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,951956,171423,2017,12,0,0,1,0
30,30,25-44,S,12/22/17,172892485,121,0,235,40.62318838,M,PL 2211001,-74.1492377,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,942822,166353,2017,12,1,0,0,0
31,31,45-64,S,12/22/17,172877873,121,0,117,40.62058297,F,PL 2204402,-74.16378463,DANGEROUS DRUGS,523,SALE SCHOOL GROUNDS,WHITE,M,938782,165411,2017,12,0,1,0,1
32,32,18-24,S,12/21/17,172853576,120,0,117,40.62685594,F,PL 2200601,-74.08370195,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",BLACK,M,961016,167665,2017,12,0,0,1,0
33,33,45-64,S,12/21/17,172858123,122,0,235,40.5689311,M,PL 2214000,-74.13890503,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",BLACK,M,945659,146581,2017,12,1,1,0,0
34,34,18-24,S,12/21/17,172855888,121,0,235,40.63554807,M,PL 2211001,-74.1337149,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,947138,170849,2017,12,1,0,0,0
35,35,25-44,S,12/21/17,172860290,122,0,235,40.5689311,M,PL 2214000,-74.13890503,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE,M,945659,146581,2017,12,1,1,0,0
36,36,25-44,S,12/21/17,172867271,123,0,235,40.53240695,M,PL 2211500,-74.22484697,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,921748,133324,2017,12,1,0,0,0
37,37,18-24,S,12/20/17,172791394,120,0,235,40.61141441,M,PL 2211001,-74.08277136,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961269,162039,2017,12,1,0,0,0
38,38,25-44,S,12/20/17,172830965,122,0,117,40.53353573,F,PL 2201601,-74.15058442,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942392,133691,2017,12,0,0,1,0
39,39,18-24,S,12/20/17,172830964,122,0,235,40.53353573,M,PL 2200300,-74.15058442,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,942392,133691,2017,12,0,0,0,0
40,40,25-44,S,12/20/17,172830969,120,0,117,40.62100643,F,PL 2201601,-74.09803852,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957034,165538,2017,12,0,0,1,0
41,41,45-64,S,12/20/17,172831102,121,0,235,40.62152447,M,PL 2200300,-74.1409885,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,945111,165743,2017,12,0,0,0,0
42,42,25-44,S,12/20/17,172830967,120,0,117,40.62100643,F,PL 2201601,-74.09803852,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957034,165538,2017,12,0,0,1,0
43,43,25-44,S,12/20/17,172813021,123,0,117,40.52092674,F,PL 2200602,-74.2351132,DANGEROUS DRUGS,507,"CONTROLLED SUBSTANCE, POSSESSION 5",WHITE,M,918883,129149,2017,12,0,0,0,0
44,44,45-64,S,12/20/17,172789116,121,0,235,40.59528915,M,PL 2205002,-74.1660379,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",WHITE,M,938139,156197,2017,12,0,0,1,0
45,45,45-64,S,12/20/17,172813020,123,0,117,40.52092674,F,PL 2201601,-74.2351132,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,918883,129149,2017,12,0,0,1,0
46,46,18-24,S,12/20/17,172815348,121,0,235,40.63739918,M,PL 2211001,-74.16071284,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939646,171536,2017,12,1,0,0,0
47,47,<18,S,12/20/17,172828182,120,0,235,40.61549122,M,PL 2211001,-74.08165623,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,F,961580,163524,2017,12,1,0,0,0
48,48,25-44,S,12/20/17,172830966,122,0,117,40.53353573,F,PL 2201601,-74.15058442,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942392,133691,2017,12,0,0,1,0
49,49,45-64,S,12/20/17,172815349,122,0,117,40.5960371,F,PL 2203901,-74.08023171,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK,M,961969,156436,2017,12,0,1,0,0
50,50,25-44,S,12/20/17,172831103,122,0,235,40.59478615,M,PL 2200300,-74.12547032,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,949405,155995,2017,12,0,0,0,0
51,51,25-44,S,12/20/17,172830970,120,0,235,40.62100643,M,PL 2200300,-74.09803852,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,957034,165538,2017,12,0,0,0,0
52,52,18-24,S,12/19/17,172786720,121,0,235,40.6300272,M,PL 2211001,-74.13228799,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,947531,168837,2017,12,1,0,0,0
53,53,25-44,S,12/19/17,172755981,122,0,235,40.54209178,M,PL 2200300,-74.14812112,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,943082,136807,2017,12,0,0,0,0
54,54,25-44,S,12/19/17,172755982,122,0,117,40.54209178,F,PL 2204301,-74.14812112,DANGEROUS DRUGS,512,"CONTROLLED SUBSTANCE,SALE 1",WHITE,M,943082,136807,2017,12,0,1,0,0
55,55,25-44,S,12/19/17,172755980,122,0,117,40.54209178,F,PL 2212500,-74.14812112,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",WHITE,M,943082,136807,2017,12,1,0,0,0
56,56,25-44,S,12/19/17,172755984,122,0,117,40.5388992,F,PL 2201601,-74.1462576,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,943598,135643,2017,12,0,0,1,0
57,57,25-44,S,12/18/17,172738762,121,0,235,40.63165017,M,PL 2211001,-74.16171858,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939363,169442,2017,12,1,0,0,0
58,58,25-44,S,12/18/17,172712147,120,0,235,40.62790328,M,PL 2200300,-74.11101066,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,953436,168055,2017,12,0,0,0,0
59,59,25-44,S,12/18/17,172738759,121,0,235,40.63999547,M,PL 2211001,-74.13765852,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,946046,172471,2017,12,1,0,0,0
60,60,25-44,S,12/17/17,172699034,121,0,235,40.63007096,M,PL 2211001,-74.15645844,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,940822,168864,2017,12,1,0,0,0
61,61,18-24,S,12/17/17,172695379,121,0,235,40.63603266,M,PL 2211001,-74.13477155,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,946845,171026,2017,12,1,0,0,0
62,62,25-44,S,12/16/17,172682749,122,0,117,40.57797793,F,PL 2201601,-74.12709468,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,F,948945,149872,2017,12,0,0,1,0
63,63,18-24,S,12/16/17,172681820,122,0,235,40.57428569,M,PL 2205003,-74.10591441,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",WHITE,M,954827,148519,2017,12,0,0,1,0
64,64,18-24,S,12/16/17,172680639,120,0,235,40.64544846,M,PL 2211001,-74.08081364,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,961824,174438,2017,12,1,0,0,0
65,65,25-44,S,12/16/17,172675656,123,9,678,40.52491179,V,PL 2210500,-74.20063542,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",WHITE,M,928472,130577,2017,12,1,0,0,0
66,66,25-44,S,12/16/17,172681823,121,0,235,40.63433353,M,PL 2211001,-74.13718207,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,946175,170408,2017,12,1,0,0,0
67,67,45-64,S,12/16/17,172675655,120,0,117,40.61572972,F,PL 2201601,-74.09623342,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,957533,163615,2017,12,0,0,1,0
68,68,25-44,S,12/16/17,172671993,121,0,235,40.63653863,M,PL 2200300,-74.16748447,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,937766,171226,2017,12,0,0,0,0
69,69,18-24,S,12/16/17,172681824,120,0,117,40.63029949,F,PL 2201601,-74.08890494,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,959573,168921,2017,12,0,0,1,0
70,70,25-44,S,12/16/17,172680642,120,0,117,40.63029949,F,PL 2201601,-74.08890494,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,959573,168921,2017,12,0,0,1,0
71,71,18-24,S,12/14/17,172626603,121,0,235,40.62598702,M,PL 2211001,-74.15622192,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,940885,167376,2017,12,1,0,0,0
72,72,18-24,S,12/14/17,172629448,123,0,235,40.51158634,M,PL 2211001,-74.24930373,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,F,914928,125757,2017,12,1,0,0,0
73,73,45-64,S,12/14/17,172629609,123,0,235,40.51158634,M,PL 2200300,-74.24930373,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,914928,125757,2017,12,0,0,0,0
74,74,25-44,S,12/14/17,172593009,121,0,235,40.6325582,M,PL 2211001,-74.15813238,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,940359,169771,2017,12,1,0,0,0
75,75,65+,S,12/14/17,172610793,120,0,117,40.64502275,F,PL 2201611,-74.07721685,DANGEROUS DRUGS,502,"CONTROLLED SUBSTANCE,POSSESS 3",WHITE,M,962822,174282,2017,12,0,0,0,0
76,76,65+,S,12/14/17,172601990,123,0,235,40.50882156,M,PL 2200300,-74.23801588,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,918064,124741,2017,12,0,0,0,0
77,77,18-24,S,12/13/17,172580492,121,0,235,40.58764996,M,PL 2205003,-74.16052111,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",WHITE,M,939666,153411,2017,12,0,0,1,0
78,78,18-24,S,12/13/17,172578903,120,0,235,40.6146244,M,PL 2211002,-74.08471673,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960730,163209,2017,12,1,0,0,0
79,79,18-24,S,12/13/17,172578902,120,0,235,40.6146244,M,PL 2211002,-74.08471673,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960730,163209,2017,12,1,0,0,0
80,80,18-24,S,12/12/17,172537409,121,0,235,40.63597097,M,PL 2214000,-74.16136515,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",BLACK,M,939464,171016,2017,12,1,1,0,0
81,81,25-44,S,12/12/17,172523374,120,0,117,40.64075492,F,PL 2201601,-74.07674709,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,962951,172727,2017,12,0,0,1,0
82,82,18-24,S,12/12/17,172537410,121,0,235,40.63597097,M,PL 2200300,-74.16136515,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,939464,171016,2017,12,0,0,0,0
83,83,25-44,S,12/11/17,172493234,120,0,235,40.61273404,M,PL 2211001,-74.07141311,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,964423,162517,2017,12,1,0,0,0
84,84,45-64,S,12/11/17,172503419,120,0,235,40.63743602,M,PL 2211001,-74.11373963,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,952683,171529,2017,12,1,0,0,0
85,85,18-24,S,12/11/17,172493231,121,0,235,40.63808589,M,PL 2211001,-74.16229987,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,939206,171787,2017,12,1,0,0,0
86,86,45-64,S,12/10/17,172470990,120,0,235,40.63716786,M,PL 2200300,-74.07618089,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,963107,171420,2017,12,0,0,0,0
87,87,25-44,S,12/10/17,172471799,122,0,235,40.55320268,M,PL 2200300,-74.16434276,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,938581,140863,2017,12,0,0,0,0
88,88,18-24,S,12/10/17,172466894,120,0,235,40.61170517,M,PL 2200300,-74.07503891,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,963416,162143,2017,12,0,0,0,0
89,89,45-64,S,12/9/17,172431287,121,0,117,40.63122789,F,PL 2200901,-74.16528427,DANGEROUS DRUGS,505,"CONTROLLED SUBSTANCE, POSSESSION 4",BLACK,M,938373,169290,2017,12,0,0,0,0
90,90,25-44,S,12/9/17,172450460,121,0,235,40.62617966,M,PL 2211001,-74.1340888,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,947029,167436,2017,12,1,0,0,0
91,91,25-44,S,12/9/17,172431285,121,0,117,40.63122789,F,PL 2200602,-74.16528427,DANGEROUS DRUGS,507,"CONTROLLED SUBSTANCE, POSSESSION 5",BLACK,M,938373,169290,2017,12,0,0,0,0
92,92,18-24,S,12/8/17,172414664,121,0,117,40.58739192,F,PL 2200601,-74.1910445,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,F,931188,153334,2017,12,0,0,1,0
93,93,18-24,S,12/8/17,172420621,123,0,235,40.51188699,M,PL 2200300,-74.25114976,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,914415,125868,2017,12,0,0,0,0
94,94,25-44,S,12/8/17,172414663,120,0,235,40.60780873,M,PL 2200300,-74.08139473,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,961650,160725,2017,12,0,0,0,0
95,95,25-44,S,12/8/17,172417341,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE HISPANIC,M,962822,174282,2017,12,0,0,1,0
96,96,45-64,S,12/8/17,172413001,120,0,117,40.64149946,F,PL 2201601,-74.07567777,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE HISPANIC,M,963248,172998,2017,12,0,0,1,0
97,97,25-44,S,12/8/17,172419076,123,0,235,40.53119194,M,PL 2214000,-74.1700372,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE,M,936983,132847,2017,12,1,1,0,0
98,98,<18,S,12/8/17,172419078,123,0,117,40.51188699,F,PL 2200601,-74.25114976,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,914415,125868,2017,12,0,0,1,0
99,99,25-44,S,12/8/17,172415869,121,0,235,40.63088494,M,PL 2200300,-74.149118,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,942860,169157,2017,12,0,0,0,0
100,100,25-44,S,12/7/17,172394593,121,0,117,40.63272741,F,PL 2200601,-74.14642361,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,943609,169827,2017,12,0,0,1,0
101,101,25-44,S,12/7/17,172354282,120,0,235,40.62381602,M,PL 2211001,-74.0737809,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,963769,166555,2017,12,1,0,0,0
102,102,25-44,S,12/7/17,172383031,123,0,117,40.56097967,F,PL 2200601,-74.19530211,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE HISPANIC,M,929984,143714,2017,12,0,0,1,0
103,103,25-44,S,12/7/17,172369477,121,11,117,40.62322682,F,PL 2201801,-74.14922697,DANGEROUS DRUGS,501,"CONTROLLED SUBSTANCE,POSSESS 2",WHITE,M,942825,166367,2017,12,0,0,0,0
104,104,25-44,S,12/7/17,172354283,120,0,235,40.62381602,M,PL 2211001,-74.0737809,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,963769,166555,2017,12,1,0,0,0
105,105,18-24,S,12/7/17,172391709,121,0,235,40.62891062,M,PL 2200300,-74.14327735,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,944480,168435,2017,12,0,0,0,0
106,106,18-24,S,12/6/17,172347010,120,0,235,40.63753314,M,PL 2211001,-74.12078382,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,950728,171567,2017,12,1,0,0,0
107,107,18-24,S,12/6/17,172310773,121,0,235,40.62983593,M,PL 2211001,-74.14737557,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,943343,168774,2017,12,1,0,0,0
108,108,18-24,S,12/6/17,172348847,120,0,235,40.6434404,M,PL 2200300,-74.07920769,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,F,962269,173706,2017,12,0,0,0,0
109,109,45-64,S,12/6/17,172350759,123,0,235,40.51203825,M,PL 2200300,-74.24975495,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,914803,125922,2017,12,0,0,0,0
110,110,25-44,S,12/6/17,172335578,120,0,117,40.64502275,F,PL 2201601,-74.07721685,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,F,962822,174282,2017,12,0,0,1,0
111,111,25-44,S,12/5/17,172310193,120,0,235,40.63968673,M,PL 2200300,-74.07744128,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,962758,172338,2017,12,0,0,0,0
112,112,18-24,S,12/5/17,172310195,120,0,235,40.63968673,M,PL 2205003,-74.07744128,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,962758,172338,2017,12,0,0,1,0
113,113,25-44,S,12/5/17,172296354,123,0,117,40.55600976,F,PL 2200601,-74.19474418,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,930135,141903,2017,12,0,0,1,0
114,114,25-44,S,12/5/17,172310294,120,0,117,40.63780411,F,PL 2201601,-74.0769851,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK HISPANIC,M,962884,171652,2017,12,0,0,1,0
115,115,25-44,S,12/5/17,172310196,120,0,235,40.64159405,M,PL 2200300,-74.07790111,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,962631,173033,2017,12,0,0,0,0
116,116,18-24,S,12/5/17,172310197,120,0,235,40.63968673,M,PL 2205003,-74.07744128,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,962758,172338,2017,12,0,0,1,0
117,117,25-44,S,12/5/17,172293484,123,0,117,40.55600976,F,PL 2200601,-74.19474418,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,930135,141903,2017,12,0,0,1,0
118,118,25-44,S,12/4/17,172265141,121,0,235,40.63217333,M,PL 2200300,-74.16633142,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,938083,169635,2017,12,0,0,0,0
119,119,25-44,S,12/3/17,172209341,122,0,117,40.60504449,F,PL 2200601,-74.07358369,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",BLACK,M,963818,159716,2017,12,0,0,1,0
