"","X","age_group","arrest_boro","arrest_date","arrest_key","arrest_precinct","jurisdiction_code","ky_cd","latitude","law_cat_cd","law_code","longitude","ofns_desc","pd_cd","pd_desc","perp_race","perp_sex","x_coord_cd","y_coord_cd","year","month"
"70",70,"25-44","S","2017-12-16",172680642,120,0,117,40.630299493,"F","PL 2201601",-74.088904943,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",959573,168921,2017,12
"71",71,"18-24","S","2017-12-14",172626603,121,0,235,40.625987024,"M","PL 2211001",-74.156221915,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",940885,167376,2017,12
"72",72,"18-24","S","2017-12-14",172629448,123,0,235,40.511586338,"M","PL 2211001",-74.249303727,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","F",914928,125757,2017,12
"73",73,"45-64","S","2017-12-14",172629609,123,0,235,40.511586338,"M","PL 2200300",-74.249303727,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",914928,125757,2017,12
"74",74,"25-44","S","2017-12-14",172593009,121,0,235,40.632558195,"M","PL 2211001",-74.158132378,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE HISPANIC","M",940359,169771,2017,12
"75",75,"65+","S","2017-12-14",172610793,120,0,117,40.645022746,"F","PL 2201611",-74.077216847,"DANGEROUS DRUGS",502,"CONTROLLED SUBSTANCE,POSSESS 3","WHITE","M",962822,174282,2017,12
"76",76,"65+","S","2017-12-14",172601990,123,0,235,40.508821556,"M","PL 2200300",-74.238015877,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",918064,124741,2017,12
"77",77,"18-24","S","2017-12-13",172580492,121,0,235,40.587649961,"M","PL 2205003",-74.160521108,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","WHITE","M",939666,153411,2017,12
"78",78,"18-24","S","2017-12-13",172578903,120,0,235,40.614624398,"M","PL 2211002",-74.084716734,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",960730,163209,2017,12
"79",79,"18-24","S","2017-12-13",172578902,120,0,235,40.614624398,"M","PL 2211002",-74.084716734,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",960730,163209,2017,12
"80",80,"18-24","S","2017-12-12",172537409,121,0,235,40.63597097,"M","PL 2214000",-74.161365149,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","BLACK","M",939464,171016,2017,12
"81",81,"25-44","S","2017-12-12",172523374,120,0,117,40.640754918,"F","PL 2201601",-74.076747088,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK","M",962951,172727,2017,12
"82",82,"18-24","S","2017-12-12",172537410,121,0,235,40.63597097,"M","PL 2200300",-74.161365149,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",939464,171016,2017,12
"83",83,"25-44","S","2017-12-11",172493234,120,0,235,40.612734035,"M","PL 2211001",-74.071413112,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE HISPANIC","M",964423,162517,2017,12
"84",84,"45-64","S","2017-12-11",172503419,120,0,235,40.63743602,"M","PL 2211001",-74.11373963,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",952683,171529,2017,12
"85",85,"18-24","S","2017-12-11",172493231,121,0,235,40.638085889,"M","PL 2211001",-74.162299866,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",939206,171787,2017,12
"86",86,"45-64","S","2017-12-10",172470990,120,0,235,40.637167857,"M","PL 2200300",-74.076180885,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",963107,171420,2017,12
"87",87,"25-44","S","2017-12-10",172471799,122,0,235,40.55320268,"M","PL 2200300",-74.164342758,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",938581,140863,2017,12
"88",88,"18-24","S","2017-12-10",172466894,120,0,235,40.611705171,"M","PL 2200300",-74.075038907,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",963416,162143,2017,12
"89",89,"45-64","S","2017-12-09",172431287,121,0,117,40.63122789,"F","PL 2200901",-74.165284272,"DANGEROUS DRUGS",505,"CONTROLLED SUBSTANCE, POSSESSION 4","BLACK","M",938373,169290,2017,12
"90",90,"25-44","S","2017-12-09",172450460,121,0,235,40.626179658,"M","PL 2211001",-74.134088798,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE HISPANIC","M",947029,167436,2017,12
"91",91,"25-44","S","2017-12-09",172431285,121,0,117,40.63122789,"F","PL 2200602",-74.165284272,"DANGEROUS DRUGS",507,"CONTROLLED SUBSTANCE, POSSESSION 5","BLACK","M",938373,169290,2017,12
"92",92,"18-24","S","2017-12-08",172414664,121,0,117,40.587391915,"F","PL 2200601",-74.191044497,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","F",931188,153334,2017,12
"93",93,"18-24","S","2017-12-08",172420621,123,0,235,40.511886989,"M","PL 2200300",-74.25114976,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",914415,125868,2017,12
"94",94,"25-44","S","2017-12-08",172414663,120,0,235,40.607808725,"M","PL 2200300",-74.08139473,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","F",961650,160725,2017,12
"95",95,"25-44","S","2017-12-08",172417341,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE HISPANIC","M",962822,174282,2017,12
"96",96,"45-64","S","2017-12-08",172413001,120,0,117,40.641499463,"F","PL 2201601",-74.075677766,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE HISPANIC","M",963248,172998,2017,12
"97",97,"25-44","S","2017-12-08",172419076,123,0,235,40.531191935,"M","PL 2214000",-74.170037203,"DANGEROUS DRUGS",569,"MARIJUANA, SALE 4 & 5","WHITE","M",936983,132847,2017,12
"98",98,"<18","S","2017-12-08",172419078,123,0,117,40.511886989,"F","PL 2200601",-74.25114976,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",914415,125868,2017,12
"99",99,"25-44","S","2017-12-08",172415869,121,0,235,40.630884936,"M","PL 2200300",-74.149118002,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",942860,169157,2017,12
"100",100,"25-44","S","2017-12-07",172394593,121,0,117,40.63272741,"F","PL 2200601",-74.146423605,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",943609,169827,2017,12
"101",101,"25-44","S","2017-12-07",172354282,120,0,235,40.623816017,"M","PL 2211001",-74.073780898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","WHITE","M",963769,166555,2017,12
"102",102,"25-44","S","2017-12-07",172383031,123,0,117,40.560979671,"F","PL 2200601",-74.195302111,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE HISPANIC","M",929984,143714,2017,12
"103",103,"25-44","S","2017-12-07",172369477,121,11,117,40.623226819,"F","PL 2201801",-74.149226973,"DANGEROUS DRUGS",501,"CONTROLLED SUBSTANCE,POSSESS 2","WHITE","M",942825,166367,2017,12
"104",104,"25-44","S","2017-12-07",172354283,120,0,235,40.623816017,"M","PL 2211001",-74.073780898,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",963769,166555,2017,12
"105",105,"18-24","S","2017-12-07",172391709,121,0,235,40.628910623,"M","PL 2200300",-74.143277352,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE HISPANIC","M",944480,168435,2017,12
"106",106,"18-24","S","2017-12-06",172347010,120,0,235,40.637533139,"M","PL 2211001",-74.120783817,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",950728,171567,2017,12
"107",107,"18-24","S","2017-12-06",172310773,121,0,235,40.629835927,"M","PL 2211001",-74.14737557,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",943343,168774,2017,12
"108",108,"18-24","S","2017-12-06",172348847,120,0,235,40.643440396,"M","PL 2200300",-74.079207694,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE HISPANIC","F",962269,173706,2017,12
"109",109,"45-64","S","2017-12-06",172350759,123,0,235,40.512038254,"M","PL 2200300",-74.249754952,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",914803,125922,2017,12
"110",110,"25-44","S","2017-12-06",172335578,120,0,117,40.645022746,"F","PL 2201601",-74.077216847,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","WHITE","F",962822,174282,2017,12
"111",111,"25-44","S","2017-12-05",172310193,120,0,235,40.63968673,"M","PL 2200300",-74.077441276,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",962758,172338,2017,12
"112",112,"18-24","S","2017-12-05",172310195,120,0,235,40.63968673,"M","PL 2205003",-74.077441276,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","BLACK","M",962758,172338,2017,12
"113",113,"25-44","S","2017-12-05",172296354,123,0,117,40.556009758,"F","PL 2200601",-74.194744181,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",930135,141903,2017,12
"114",114,"25-44","S","2017-12-05",172310294,120,0,117,40.637804112,"F","PL 2201601",-74.076985101,"DANGEROUS DRUGS",503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3","BLACK HISPANIC","M",962884,171652,2017,12
"115",115,"25-44","S","2017-12-05",172310196,120,0,235,40.641594047,"M","PL 2200300",-74.077901109,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",962631,173033,2017,12
"116",116,"18-24","S","2017-12-05",172310197,120,0,235,40.63968673,"M","PL 2205003",-74.077441276,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","BLACK","M",962758,172338,2017,12
"117",117,"25-44","S","2017-12-05",172293484,123,0,117,40.556009758,"F","PL 2200601",-74.194744181,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","WHITE","M",930135,141903,2017,12
"118",118,"25-44","S","2017-12-04",172265141,121,0,235,40.632173334,"M","PL 2200300",-74.166331423,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","BLACK","M",938083,169635,2017,12
"119",119,"25-44","S","2017-12-03",172209341,122,0,117,40.60504449,"F","PL 2200601",-74.073583688,"DANGEROUS DRUGS",510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5","BLACK","M",963818,159716,2017,12
"120",120,"<18","S","2017-12-02",172202831,122,0,235,40.556234226,"M","PL 2205002",-74.140645593,"DANGEROUS DRUGS",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","WHITE","M",945168,141956,2017,12
"121",121,"25-44","S","2017-12-02",172201937,122,0,235,40.566060947,"M","PL 2200300",-74.138139626,"DANGEROUS DRUGS",511,"CONTROLLED SUBSTANCE, POSSESSION 7","WHITE","M",945870,145535,2017,12
"122",122,"25-44","S","2017-12-02",172201940,120,0,235,40.645448462,"M","PL 2211001",-74.080813638,"DANGEROUS DRUGS",567,"MARIJUANA, POSSESSION 4 & 5","BLACK","M",961824,174438,2017,12
